time,signal,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,blinkStrength,
122250,0,48,74,749285,225716,20780,29838,61156,26331,23232,4187,62,
122251,0,57,87,179702,12974,17795,8271,11737,9948,2045,778,62,
122253,0,53,88,17475,27711,27132,42888,7373,7462,6796,4386,78,
122254,0,57,66,2077626,269063,10966,34399,16634,16414,10183,15151,78,
122256,0,47,53,457771,103550,15753,8449,12611,5954,4071,2174,78,
122257,0,43,38,7661,11362,9678,6189,6342,3255,5302,3731,78,
122258,0,41,51,83212,64370,23619,11764,4864,4458,13462,6301,77,
122259,0,47,56,265250,56825,17653,5279,13983,6656,6133,1044,77,
122300,0,43,56,464818,216755,5308,45557,19122,11664,9245,3941,77,
122301,0,41,60,65920,13571,11145,16253,7640,4509,3920,2845,77,
122302,0,50,64,24271,25956,12857,21880,11637,9208,7861,8019,77,
122303,0,51,77,45939,51633,45161,34333,25529,16206,6791,5917,77,
122304,0,56,90,537951,85428,29777,62860,31548,13731,5245,5422,77,
122305,0,60,83,629066,30739,17761,13344,18948,9793,13745,7065,74,
122306,0,53,87,487990,141129,144945,41386,15838,17885,13414,8033,74,
122307,0,60,74,59434,23243,6685,8113,23315,11749,8793,4987,74,
122308,0,64,75,70818,16200,18009,14796,17136,8931,10402,3770,74,
122309,0,66,69,13436,33103,10971,6052,9160,9929,7887,7682,44,
122310,0,74,60,654477,96149,43311,11323,22611,22151,6891,2668,44,
122311,0,61,61,238656,90385,12697,18037,12308,7597,16321,4011,44,
122312,0,57,44,101364,82474,7524,14878,13950,12287,3528,623,77,
122313,0,50,51,448049,206348,142587,48729,25374,22753,15945,6457,77,
122313,0,60,57,15890,4453,1501,12967,4701,12081,8037,2555,77,
122314,0,70,69,16738,14046,15409,15506,15954,14171,8176,5054,77,
122315,0,78,84,12123,12504,15394,11233,9542,10155,6858,2912,77,
122317,0,88,90,26652,6945,8930,11714,6877,6329,6947,2992,77,
122317,0,80,96,38632,8382,28656,27292,26620,12766,6608,3906,77,
122318,0,70,100,11230,15078,39427,3813,5699,6342,11616,5576,77,
122319,0,67,97,19403,18585,10162,13993,21503,6564,7243,14263,77,
122320,0,54,69,264693,87793,4945,7071,27746,3577,7591,2872,77,
122321,0,57,64,22291,17775,7072,21581,5099,14039,12368,3149,77,
122322,0,60,60,15381,24998,12588,26560,10502,10199,2620,4593,77,
122323,0,66,61,21280,8698,8096,10166,12538,8404,4907,2075,44,
122324,0,66,75,204647,14823,1779,3927,4752,817,378,752,44,
122325,0,64,61,115536,37745,9461,5913,15478,13101,5937,12253,44,
122326,0,69,61,73042,31923,61681,8982,21045,27886,20114,10187,44,
122328,0,60,61,789942,147631,87507,50189,82510,23050,8513,5048,44,
122329,0,60,69,65949,32035,19604,12701,5857,13861,6813,5829,44,
122330,0,53,64,288200,71893,51106,5234,11894,15035,12520,5220,70,
122331,0,47,64,193718,229653,134520,35954,31015,11356,6700,4860,70,
122332,0,56,74,875626,66357,34555,9276,12172,24433,21660,3546,70,
122333,0,53,74,84654,76795,19594,79265,37230,19120,12817,9101,70,
122335,0,56,67,196554,61852,14730,14366,16862,17849,9143,9323,70,
122336,0,57,54,507093,120892,20080,29713,34001,19557,16180,12603,70,
122337,0,53,43,491076,51787,11225,3928,6196,3870,1030,750,40,
122338,0,43,38,141110,168436,4459,39256,16393,7931,13606,12831,40,
122339,0,44,50,968473,125749,35130,88030,30307,23793,9792,7060,35,
122340,0,50,43,117952,12433,2988,507,2068,3937,1779,1690,70,
122341,0,66,43,316908,42528,12283,7435,19842,33522,9686,4573,70,
122342,0,77,44,241799,81584,19973,8718,13597,18569,7314,4314,70,
122343,0,70,35,588105,229813,49865,48934,60493,15903,14623,4397,70,
122344,0,67,41,148457,104021,8954,33747,10858,20994,14740,5346,70,
122345,0,48,35,196515,151317,17731,6446,23599,5876,10375,3443,70,
122346,0,48,38,70016,54901,23863,4326,9198,13208,7318,3645,77,
122347,0,47,43,126540,204490,108475,27042,32576,15270,16335,2532,33,
122348,0,43,50,97955,79768,19607,56590,37774,14987,16047,3120,33,
122349,0,57,70,51331,21521,11450,35395,19246,16788,7812,4552,33,
122350,26,47,54,2114574,608378,32562,27342,113360,18613,17405,8649,142,
